sym,sym href,slw,sl,svelte-eurwtr
BYNO,https://stockanalysis.com/stocks/byno/,byNordic Acquisition Corporation,Shell Companies,118.48M
BYON,https://stockanalysis.com/stocks/byon/,"Beyond, Inc.",Internet Retail,510.58M
BYRN,https://stockanalysis.com/stocks/byrn/,Byrna Technologies Inc.,Aerospace & Defense,248.50M
BYSI,https://stockanalysis.com/stocks/bysi/,BeyondSpring Inc.,Biotechnology,73.77M
BYU,https://stockanalysis.com/stocks/byu/,"BAIYU Holdings, Inc.",Shell Companies,147.34M
BZ,https://stockanalysis.com/stocks/bz/,Kanzhun Limited,Internet Content & Information,6.39B
BZFD,https://stockanalysis.com/stocks/bzfd/,"BuzzFeed, Inc.",Internet Content & Information,112.25M
BZH,https://stockanalysis.com/stocks/bzh/,"Beazer Homes USA, Inc.",Residential Construction,926.17M
BZUN,https://stockanalysis.com/stocks/bzun/,Baozun Inc.,Internet Retail,138.45M
C,https://stockanalysis.com/stocks/c/,Citigroup Inc.,Banks - Diversified,115.48B
CAAP,https://stockanalysis.com/stocks/caap/,Corporación América Airports S.A.,Airports & Air Services,2.54B
CAAS,https://stockanalysis.com/stocks/caas/,"China Automotive Systems, Inc.",Auto Parts,113.50M
CABA,https://stockanalysis.com/stocks/caba/,"Cabaletta Bio, Inc.",Biotechnology,288.21M
CABO,https://stockanalysis.com/stocks/cabo/,"Cable One, Inc.",Telecom Services,1.96B
CAC,https://stockanalysis.com/stocks/cac/,Camden National Corporation,Banks - Regional,548.44M
CACC,https://stockanalysis.com/stocks/cacc/,Credit Acceptance Corporation,Credit Services,5.69B
CACI,https://stockanalysis.com/stocks/caci/,CACI International Inc,Information Technology Services,10.52B
CACO,https://stockanalysis.com/stocks/caco/,Caravelle International Group,Marine Shipping,23.99M
CADE,https://stockanalysis.com/stocks/cade/,Cadence Bank,Banks - Regional,5.65B
CADL,https://stockanalysis.com/stocks/cadl/,"Candel Therapeutics, Inc.",Biotechnology,168.77M
CAE,https://stockanalysis.com/stocks/cae/,CAE Inc.,Aerospace & Defense,5.63B
CAG,https://stockanalysis.com/stocks/cag/,"Conagra Brands, Inc.",Packaged Foods,14.73B
CAH,https://stockanalysis.com/stocks/cah/,"Cardinal Health, Inc.",Medical Distribution,26.74B
CAKE,https://stockanalysis.com/stocks/cake/,The Cheesecake Factory Incorporated,Restaurants,1.97B
CAL,https://stockanalysis.com/stocks/cal/,"Caleres, Inc.",Apparel Retail,1.49B
CALC,https://stockanalysis.com/stocks/calc/,"CalciMedica, Inc.",Biotechnology,41.93M
CALM,https://stockanalysis.com/stocks/calm/,"Cal-Maine Foods, Inc.",Farm Products,3.53B
CALT,https://stockanalysis.com/stocks/calt/,Calliditas Therapeutics AB (publ),Biotechnology,1.10B
CALX,https://stockanalysis.com/stocks/calx/,"Calix, Inc.",Software - Infrastructure,2.44B
CAMT,https://stockanalysis.com/stocks/camt/,Camtek Ltd.,Semiconductor Equipment & Materials,4.47B
CAN,https://stockanalysis.com/stocks/can/,Canaan Inc.,Computer Hardware,293.49M
CANF,https://stockanalysis.com/stocks/canf/,Can-Fite BioPharma Ltd.,Biotechnology,14.24M
CANG,https://stockanalysis.com/stocks/cang/,Cango Inc.,Auto & Truck Dealerships,190.99M
CAPL,https://stockanalysis.com/stocks/capl/,CrossAmerica Partners LP,Oil & Gas Refining & Marketing,755.95M
CAPR,https://stockanalysis.com/stocks/capr/,"Capricor Therapeutics, Inc.",Biotechnology,149.03M
CAPT,https://stockanalysis.com/stocks/capt/,Captivision Inc.,Building Materials,47.90M
CAR,https://stockanalysis.com/stocks/car/,"Avis Budget Group, Inc.",Rental & Leasing Services,3.25B
CARA,https://stockanalysis.com/stocks/cara/,"Cara Therapeutics, Inc.",Biotechnology,18.71M
CARE,https://stockanalysis.com/stocks/care/,"Carter Bankshares, Inc.",Banks - Regional,368.93M
CARG,https://stockanalysis.com/stocks/carg/,"CarGurus, Inc.",Auto & Truck Dealerships,2.95B
CARM,https://stockanalysis.com/stocks/carm/,"Carisma Therapeutics, Inc.",Biotechnology,51.93M
CARR,https://stockanalysis.com/stocks/carr/,Carrier Global Corporation,Building Products & Equipment,62.89B
CARS,https://stockanalysis.com/stocks/cars/,Cars.com Inc.,Auto & Truck Dealerships,1.16B
CART,https://stockanalysis.com/stocks/cart/,Maplebear Inc.,Internet Retail,8.63B
CARV,https://stockanalysis.com/stocks/carv/,"Carver Bancorp, Inc.",Banks - Regional,10.26M
CASH,https://stockanalysis.com/stocks/cash/,"Pathward Financial, Inc.",Banks - Regional,1.60B
CASI,https://stockanalysis.com/stocks/casi/,"CASI Pharmaceuticals, Inc.",Biotechnology,97.81M
CASS,https://stockanalysis.com/stocks/cass/,"Cass Information Systems, Inc.",Specialty Business Services,569.44M
CASY,https://stockanalysis.com/stocks/casy/,"Casey's General Stores, Inc.",Specialty Retail,14.04B
CAT,https://stockanalysis.com/stocks/cat/,Caterpillar Inc.,Farm & Heavy Construction Machinery,166.31B
CATO,https://stockanalysis.com/stocks/cato/,The Cato Corporation,Apparel Retail,97.16M
CATX,https://stockanalysis.com/stocks/catx/,"Perspective Therapeutics, Inc.",Medical Devices,1.03B
CATY,https://stockanalysis.com/stocks/caty/,Cathay General Bancorp,Banks - Regional,3.05B
CAVA,https://stockanalysis.com/stocks/cava/,"CAVA Group, Inc.",Restaurants,11.73B
CB,https://stockanalysis.com/stocks/cb/,Chubb Limited,Insurance - Property & Casualty,109.90B
CBAN,https://stockanalysis.com/stocks/cban/,"Colony Bankcorp, Inc.",Banks - Regional,247.67M
CBAT,https://stockanalysis.com/stocks/cbat/,"CBAK Energy Technology, Inc.",Electrical Equipment & Parts,98.93M
CBFV,https://stockanalysis.com/stocks/cbfv/,"CB Financial Services, Inc.",Banks - Regional,129.47M
CBL,https://stockanalysis.com/stocks/cbl/,"CBL & Associates Properties, Inc.",REIT - Retail,819.71M
CBNK,https://stockanalysis.com/stocks/cbnk/,"Capital Bancorp, Inc.",Banks - Regional,338.92M
CBOE,https://stockanalysis.com/stocks/cboe/,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,21.65B
CBRE,https://stockanalysis.com/stocks/cbre/,"CBRE Group, Inc.",Real Estate Services,33.81B
CBRG,https://stockanalysis.com/stocks/cbrg/,Chain Bridge I,Shell Companies,76.01M
CBRL,https://stockanalysis.com/stocks/cbrl/,"Cracker Barrel Old Country Store, Inc.",Restaurants,937.16M
CBSH,https://stockanalysis.com/stocks/cbsh/,"Commerce Bancshares, Inc.",Banks - Regional,8.00B
CBT,https://stockanalysis.com/stocks/cbt/,Cabot Corporation,Specialty Chemicals,5.54B
CBU,https://stockanalysis.com/stocks/cbu/,"Community Financial System, Inc.",Banks - Regional,3.10B
CBUS,https://stockanalysis.com/stocks/cbus/,"Cibus, Inc.",Biotechnology,165.08M
CBZ,https://stockanalysis.com/stocks/cbz/,"CBIZ, Inc.",Specialty Business Services,3.58B
CC,https://stockanalysis.com/stocks/cc/,The Chemours Company,Specialty Chemicals,2.79B
CCAP,https://stockanalysis.com/stocks/ccap/,"Crescent Capital BDC, Inc.",Asset Management,678.23M
CCB,https://stockanalysis.com/stocks/ccb/,Coastal Financial Corporation,Banks - Regional,670.13M
CCBG,https://stockanalysis.com/stocks/ccbg/,"Capital City Bank Group, Inc.",Banks - Regional,550.61M
CCCC,https://stockanalysis.com/stocks/cccc/,"C4 Therapeutics, Inc.",Biotechnology,437.52M
CCCS,https://stockanalysis.com/stocks/cccs/,CCC Intelligent Solutions Holdings Inc.,Software - Infrastructure,6.75B
CCEL,https://stockanalysis.com/stocks/ccel/,"Cryo-Cell International, Inc.",Medical Care Facilities,54.82M
CCEP,https://stockanalysis.com/stocks/ccep/,Coca-Cola Europacific Partners PLC,Beverages - Non-Alcoholic,35.42B
CCG,https://stockanalysis.com/stocks/ccg/,Cheche Group Inc.,Internet Content & Information,70.82M
CCI,https://stockanalysis.com/stocks/cci/,Crown Castle Inc.,REIT - Specialty,47.61B
CCIX,https://stockanalysis.com/stocks/ccix/,Churchill Capital Corp IX,Shell Companies,367.72M
CCJ,https://stockanalysis.com/stocks/ccj/,Cameco Corporation,Uranium,18.03B
CCK,https://stockanalysis.com/stocks/cck/,"Crown Holdings, Inc.",Packaging & Containers,10.65B
CCL,https://stockanalysis.com/stocks/ccl/,Carnival Corporation & plc,Travel Services,19.63B
CCLD,https://stockanalysis.com/stocks/ccld/,"CareCloud, Inc.",Health Information Services,49.13M
CCM,https://stockanalysis.com/stocks/ccm/,Concord Medical Services Holdings Limited,Medical Care Facilities,31.69M
CCNE,https://stockanalysis.com/stocks/ccne/,CNB Financial Corporation,Banks - Regional,478.37M
CCO,https://stockanalysis.com/stocks/cco/,"Clear Channel Outdoor Holdings, Inc.",Advertising Agencies,708.97M
CCOI,https://stockanalysis.com/stocks/ccoi/,"Cogent Communications Holdings, Inc.",Telecom Services,3.49B
CCRD,https://stockanalysis.com/stocks/ccrd/,CoreCard Corporation,Software - Application,109.21M
CCRN,https://stockanalysis.com/stocks/ccrn/,"Cross Country Healthcare, Inc.",Medical Care Facilities,475.35M
CCS,https://stockanalysis.com/stocks/ccs/,"Century Communities, Inc.",Residential Construction,3.04B
CCSI,https://stockanalysis.com/stocks/ccsi/,"Consensus Cloud Solutions, Inc.",Software - Infrastructure,412.19M
CCTG,https://stockanalysis.com/stocks/cctg/,CCSC Technology International Holdings Limited,Electrical Equipment & Parts,18.99M
CCTS,https://stockanalysis.com/stocks/ccts/,Cactus Acquisition Corp. 1 Limited,Shell Companies,58.11M
CCU,https://stockanalysis.com/stocks/ccu/,Compañía Cervecerías Unidas S.A.,Beverages - Brewers,2.16B
CDAQ,https://stockanalysis.com/stocks/cdaq/,Compass Digital Acquisition Corp.,Shell Companies,83.76M
CDE,https://stockanalysis.com/stocks/cde/,"Coeur Mining, Inc.",Gold,2.63B
CDIO,https://stockanalysis.com/stocks/cdio/,"Cardio Diagnostics Holdings, Inc.",Biotechnology,10.53M
CDLR,https://stockanalysis.com/stocks/cdlr/,Cadeler A/S,Engineering & Construction,2.37B
CDLX,https://stockanalysis.com/stocks/cdlx/,"Cardlytics, Inc.",Advertising Agencies,201.35M
CDMO,https://stockanalysis.com/stocks/cdmo/,"Avid Bioservices, Inc.",Biotechnology,729.27M
CDNA,https://stockanalysis.com/stocks/cdna/,"CareDx, Inc",Diagnostics & Research,1.76B
CDNS,https://stockanalysis.com/stocks/cdns/,"Cadence Design Systems, Inc.",Software - Application,77.92B
CDP,https://stockanalysis.com/stocks/cdp/,COPT Defense Properties,REIT - Office,3.25B
CDRE,https://stockanalysis.com/stocks/cdre/,"Cadre Holdings, Inc.",Aerospace & Defense,1.44B
CDRO,https://stockanalysis.com/stocks/cdro/,"Codere Online Luxembourg, S.A.",Gambling,352.87M
CDT,https://stockanalysis.com/stocks/cdt/,Conduit Pharmaceuticals Inc.,Biotechnology,15.12M
CDTG,https://stockanalysis.com/stocks/cdtg/,CDT Environmental Technology Investment Holdings Limited,Waste Management,38.41M
CDTX,https://stockanalysis.com/stocks/cdtx/,"Cidara Therapeutics, Inc.",Biotechnology,91.50M
CDW,https://stockanalysis.com/stocks/cdw/,CDW Corporation,Information Technology Services,30.05B
CDXC,https://stockanalysis.com/stocks/cdxc/,ChromaDex Corporation,Packaged Foods,261.78M
CDXS,https://stockanalysis.com/stocks/cdxs/,"Codexis, Inc.",Biotechnology,212.78M
CDZI,https://stockanalysis.com/stocks/cdzi/,Cadiz Inc.,Utilities - Regulated Water,222.02M
CE,https://stockanalysis.com/stocks/ce/,Celanese Corporation,Chemicals,14.28B
CEAD,https://stockanalysis.com/stocks/cead/,CEA Industries Inc.,Farm & Heavy Construction Machinery,5.43M
CECO,https://stockanalysis.com/stocks/ceco/,CECO Environmental Corp.,Pollution & Treatment Controls,962.81M
CEG,https://stockanalysis.com/stocks/ceg/,Constellation Energy Corporation,Utilities - Renewable,61.52B
CEIX,https://stockanalysis.com/stocks/ceix/,CONSOL Energy Inc.,Thermal Coal,2.81B
CELC,https://stockanalysis.com/stocks/celc/,Celcuity Inc.,Biotechnology,629.14M
CELH,https://stockanalysis.com/stocks/celh/,"Celsius Holdings, Inc.",Beverages - Non-Alcoholic,9.62B
CELU,https://stockanalysis.com/stocks/celu/,Celularity Inc.,Biotechnology,70.35M
CELZ,https://stockanalysis.com/stocks/celz/,"Creative Medical Technology Holdings, Inc.",Biotechnology,4.23M
CENN,https://stockanalysis.com/stocks/cenn/,Cenntro Inc.,Auto Manufacturers,44.39M
CENT,https://stockanalysis.com/stocks/cent/,Central Garden & Pet Company,Packaged Foods,2.64B
CENTA,https://stockanalysis.com/stocks/centa/,Central Garden & Pet Company,Packaged Foods,2.34B
CENX,https://stockanalysis.com/stocks/cenx/,Century Aluminum Company,Aluminum,1.36B
CEP,https://stockanalysis.com/stocks/cep/,"Cantor Equity Partners, Inc.",Shell Companies,128.26M
CEPU,https://stockanalysis.com/stocks/cepu/,Central Puerto S.A.,Utilities - Regulated Electric,1.89B
CERO,https://stockanalysis.com/stocks/cero/,"CERo Therapeutics Holdings, Inc.",Biotechnology,7.00M
CERS,https://stockanalysis.com/stocks/cers/,Cerus Corporation,Medical Devices,418.77M
CERT,https://stockanalysis.com/stocks/cert/,"Certara, Inc.",Health Information Services,2.08B
CET,https://stockanalysis.com/stocks/cet/,Central Securities Corporation,Asset Management,1.26B
CETX,https://stockanalysis.com/stocks/cetx/,"Cemtrex, Inc.",Software - Infrastructure,2.63M
CETY,https://stockanalysis.com/stocks/cety/,"Clean Energy Technologies, Inc.",Specialty Industrial Machinery,45.51M
CEVA,https://stockanalysis.com/stocks/ceva/,"CEVA, Inc.",Semiconductors,574.62M
CF,https://stockanalysis.com/stocks/cf/,"CF Industries Holdings, Inc.",Agricultural Inputs,14.46B
CFB,https://stockanalysis.com/stocks/cfb/,"CrossFirst Bankshares, Inc.",Banks - Regional,854.63M
CFBK,https://stockanalysis.com/stocks/cfbk/,CF Bankshares Inc.,Banks - Regional,138.05M
CFFI,https://stockanalysis.com/stocks/cffi/,C&F Financial Corporation,Banks - Regional,182.95M
CFFN,https://stockanalysis.com/stocks/cffn/,"Capitol Federal Financial, Inc.",Banks - Regional,752.33M
CFFS,https://stockanalysis.com/stocks/cffs/,CF Acquisition Corp. VII,Shell Companies,113.39M
CFG,https://stockanalysis.com/stocks/cfg/,"Citizens Financial Group, Inc.",Banks - Regional,18.63B
CFLT,https://stockanalysis.com/stocks/cflt/,"Confluent, Inc.",Software - Infrastructure,7.13B
CFR,https://stockanalysis.com/stocks/cfr/,"Cullen/Frost Bankers, Inc.",Banks - Regional,6.95B
CFSB,https://stockanalysis.com/stocks/cfsb/,"CFSB Bancorp, Inc.",Banks - Regional,43.52M
CG,https://stockanalysis.com/stocks/cg/,The Carlyle Group Inc.,Asset Management,14.31B
CGA,https://stockanalysis.com/stocks/cga/,"China Green Agriculture, Inc.",Agricultural Inputs,28.85M
CGAU,https://stockanalysis.com/stocks/cgau/,Centerra Gold Inc.,Gold,1.59B
CGBD,https://stockanalysis.com/stocks/cgbd/,"Carlyle Secured Lending, Inc.",Asset Management,843.07M
CGBS,https://stockanalysis.com/stocks/cgbs/,Crown LNG Holdings Limited,Oil & Gas Integrated,31.88M
CGC,https://stockanalysis.com/stocks/cgc/,Canopy Growth Corporation,Drug Manufacturers - Specialty & Generic,540.74M
CGEM,https://stockanalysis.com/stocks/cgem/,"Cullinan Therapeutics, Inc.",Biotechnology,1.04B
CGEN,https://stockanalysis.com/stocks/cgen/,Compugen Ltd.,Biotechnology,176.39M
CGNT,https://stockanalysis.com/stocks/cgnt/,Cognyte Software Ltd.,Software - Infrastructure,538.49M
CGNX,https://stockanalysis.com/stocks/cgnx/,Cognex Corporation,Scientific & Technical Instruments,6.86B
CGON,https://stockanalysis.com/stocks/cgon/,"CG Oncology, Inc.",Biotechnology,2.45B
CGTX,https://stockanalysis.com/stocks/cgtx/,"Cognition Therapeutics, Inc.",Biotechnology,30.09M
CHCI,https://stockanalysis.com/stocks/chci/,"Comstock Holding Companies, Inc.",Real Estate - Diversified,68.54M
CHCO,https://stockanalysis.com/stocks/chco/,City Holding Company,Banks - Regional,1.69B
CHCT,https://stockanalysis.com/stocks/chct/,Community Healthcare Trust Incorporated,REIT - Healthcare Facilities,504.03M
CHD,https://stockanalysis.com/stocks/chd/,"Church & Dwight Co., Inc.",Household & Personal Products,25.06B
CHDN,https://stockanalysis.com/stocks/chdn/,Churchill Downs Incorporated,Gambling,10.12B
CHE,https://stockanalysis.com/stocks/che/,Chemed Corporation,Medical Care Facilities,8.65B
CHEB,https://stockanalysis.com/stocks/cheb/,Chenghe Acquisition II Co.,Shell Companies,114.77M
CHEF,https://stockanalysis.com/stocks/chef/,"The Chefs' Warehouse, Inc.",Food Distribution,1.57B
CHEK,https://stockanalysis.com/stocks/chek/,Check-Cap Ltd.,Diagnostics & Research,11.29M
CHGG,https://stockanalysis.com/stocks/chgg/,"Chegg, Inc.",Education & Training Services,237.40M
CHH,https://stockanalysis.com/stocks/chh/,"Choice Hotels International, Inc.",Lodging,5.89B
CHK,https://stockanalysis.com/stocks/chk/,Chesapeake Energy Corporation,Oil & Gas Exploration & Production,9.50B
CHKP,https://stockanalysis.com/stocks/chkp/,Check Point Software Technologies Ltd.,Software - Infrastructure,21.35B
CHMG,https://stockanalysis.com/stocks/chmg/,Chemung Financial Corporation,Banks - Regional,215.21M
CHMI,https://stockanalysis.com/stocks/chmi/,Cherry Hill Mortgage Investment Corporation,REIT - Mortgage,107.09M
CHNR,https://stockanalysis.com/stocks/chnr/,"China Natural Resources, Inc.",Pollution & Treatment Controls,5.92M
CHPT,https://stockanalysis.com/stocks/chpt/,"ChargePoint Holdings, Inc.",Specialty Retail,820.84M
CHR,https://stockanalysis.com/stocks/chr/,"Cheer Holding, Inc.",Advertising Agencies,26.23M
CHRD,https://stockanalysis.com/stocks/chrd/,Chord Energy Corporation,Oil & Gas Exploration & Production,9.18B
CHRO,https://stockanalysis.com/stocks/chro/,Chromocell Therapeutics Corporation,Biotechnology,4.93M
CHRS,https://stockanalysis.com/stocks/chrs/,"Coherus BioSciences, Inc.",Biotechnology,154.38M
CHRW,https://stockanalysis.com/stocks/chrw/,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,11.81B
CHSN,https://stockanalysis.com/stocks/chsn/,Chanson International Holding,Restaurants,20.87M
CHT,https://stockanalysis.com/stocks/cht/,"Chunghwa Telecom Co., Ltd.",Telecom Services,30.00B
CHTR,https://stockanalysis.com/stocks/chtr/,"Charter Communications, Inc.",Telecom Services,49.27B
CHUY,https://stockanalysis.com/stocks/chuy/,"Chuy's Holdings, Inc.",Restaurants,639.42M
CHWY,https://stockanalysis.com/stocks/chwy/,"Chewy, Inc.",Internet Retail,11.82B
CHX,https://stockanalysis.com/stocks/chx/,ChampionX Corporation,Oil & Gas Equipment & Services,5.96B
CI,https://stockanalysis.com/stocks/ci/,The Cigna Group,Healthcare Plans,95.72B
CIA,https://stockanalysis.com/stocks/cia/,"Citizens, Inc.",Insurance - Life,150.60M
CIB,https://stockanalysis.com/stocks/cib/,Bancolombia S.A.,Banks - Regional,8.37B
CIEN,https://stockanalysis.com/stocks/cien/,Ciena Corporation,Communication Equipment,7.88B
CIFR,https://stockanalysis.com/stocks/cifr/,Cipher Mining Inc.,Capital Markets,1.33B
CIG,https://stockanalysis.com/stocks/cig/,Companhia Energética de Minas Gerais - CEMIG,Utilities - Diversified,6.65B
CIGI,https://stockanalysis.com/stocks/cigi/,Colliers International Group Inc.,Real Estate Services,7.09B
CIM,https://stockanalysis.com/stocks/cim/,Chimera Investment Corporation,REIT - Mortgage,1.21B
CINF,https://stockanalysis.com/stocks/cinf/,Cincinnati Financial Corporation,Insurance - Property & Casualty,20.47B
CING,https://stockanalysis.com/stocks/cing/,Cingulate Inc.,Biotechnology,10.46M
CINT,https://stockanalysis.com/stocks/cint/,CI&T Inc.,Software - Infrastructure,957.95M
CIO,https://stockanalysis.com/stocks/cio/,"City Office REIT, Inc.",REIT - Office,230.48M
CION,https://stockanalysis.com/stocks/cion/,CION Investment Corporation,Asset Management,651.61M
CISO,https://stockanalysis.com/stocks/ciso/,CISO Global Inc.,Software - Infrastructure,4.89M
